,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,n_estimators,ccp_alpha,criterion,loss
1265,2.079484963417053,0.04981729723891783,0.019219088554382324,0.0026795442123927504,0.7677852348993288,0.03714993960563235,0.8893363161819539,0.004914916346990034,bow,60,1,False,unigram_bigram,200,100,0.0,friedman_mse,deviance
255,1.4419333219528199,0.01317236131817601,0.012971878051757812,0.0003506551333138491,0.7677852348993288,0.031933898666765964,0.8703952274422073,0.004081709823535867,bow,60,1,True,unigram,1600,40,0.0,friedman_mse,deviance
424,1.8274316549301148,0.03225796951424468,0.019356274604797365,0.0006150852371935338,0.7671140939597315,0.034620725843030685,0.8931394481730051,0.003817725797515346,bow,62,1,True,unigram_bigram,400,80,0.0,friedman_mse,deviance
1095,1.4247833967208863,0.007848385674572682,0.012971878051757812,0.00027334828902539696,0.7664429530201342,0.030134153450528396,0.8708426547352722,0.004977873010672224,bow,63,1,False,unigram,1400,40,0.0,friedman_mse,deviance
1264,1.6843509674072266,0.03305799266384778,0.019223880767822266,0.000501935651167351,0.7657718120805369,0.037661712339860945,0.8828486204325131,0.005799799956853319,bow,64,1,False,unigram_bigram,200,80,0.0,friedman_mse,deviance
1053,1.187640619277954,0.021133890956889254,0.013455557823181152,0.0005069149508216649,0.7657718120805369,0.036073435303024697,0.8687546607009695,0.004923959438991548,bow,64,1,False,unigram,800,40,0.0,friedman_mse,deviance
507,1.4182515382766723,0.0220561394637169,0.01718587875366211,0.00038642553208495604,0.7657718120805369,0.035443613225532584,0.8739000745712155,0.004814898868712292,bow,64,1,True,unigram_bigram,1400,40,0.0,friedman_mse,deviance
1431,1.5290790319442749,0.040609917024585544,0.017114710807800294,0.00040899393593692753,0.7657718120805368,0.03801881621011691,0.8767337807606264,0.004002606085106539,bow,67,1,False,unigram_bigram,1600,40,0.0,friedman_mse,deviance
549,1.4835474729537963,0.029024641898994643,0.017469000816345216,0.0007915754274553548,0.7644295302013423,0.036815001750073774,0.8729306487695749,0.003948755345227056,bow,68,1,True,unigram_bigram,1600,40,0.0,friedman_mse,deviance
213,1.3791160821914672,0.01788350205210095,0.01272146701812744,0.0016755452625845135,0.763758389261745,0.031877428421578306,0.8709917971662937,0.004621009212477183,bow,69,1,True,unigram,1400,40,0.0,friedman_mse,deviance
129,0.9620522260665894,0.010287229337571872,0.01338036060333252,0.00024006094425713093,0.7630872483221477,0.03329427316728178,0.8628635346756152,0.005051615079624142,bow,70,1,True,unigram,400,40,0.0,friedman_mse,deviance
1389,1.456596851348877,0.01466798672444027,0.017431020736694336,0.0005885997705692318,0.7630872483221476,0.03855995281133751,0.8747949291573454,0.00507358350281106,bow,71,1,False,unigram_bigram,1400,40,0.0,friedman_mse,deviance
1011,0.9850902557373047,0.011515408340772328,0.013272333145141601,0.000354224666843945,0.7624161073825503,0.037149939605632336,0.867337807606264,0.005412966277094556,bow,72,1,False,unigram,400,40,0.0,friedman_mse,deviance
423,0.9916039943695069,0.013860980039773966,0.017588162422180177,0.0005017714554394182,0.7617449664429532,0.040519352612412296,0.8567486950037285,0.0035364371965337423,bow,73,1,True,unigram_bigram,400,40,0.0,friedman_mse,deviance
87,0.8414670467376709,0.011972638964302496,0.013334083557128906,0.0007433020673497816,0.7617449664429531,0.037637784947140825,0.8518269947800148,0.0042058429984201595,bow,74,1,True,unigram,200,40,0.0,friedman_mse,deviance
969,0.8716689348220825,0.012015612822274056,0.013106942176818848,0.0012516509739978602,0.7610738255033557,0.037149939605632336,0.8571215510812825,0.0041142771734925246,bow,75,1,False,unigram,200,40,0.0,friedman_mse,deviance
