,adjusted_rand,homogeneity,completeness,v_measure,vec_name,fs_name,clust_name,repetition,n_clusters,noise
0,0.26655704741420205,0.25875719193696445,0.33922501879365663,0.2935770052107865,bow-binary,chi_k-800,kmeans-10-cousine,1,10.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-800,dbscan-1-5-cosine,1,1.0,0.0
0,0.0009467967881486009,0.22761018880338646,0.0030132066113207974,0.005947675208519647,bow-binary,chi_k-800,dbscan-09-5-cosine,1,1.0,5.0
0,0.023883038122526883,0.3547668458686605,0.047020109667622316,0.08303493067322595,bow-binary,chi_k-800,dbscan-07-5-cosine,1,2.0,52.0
0,0.05929918522383593,0.18855755175794958,0.11183084434600225,0.1403952382608638,bow-binary,chi_k-800,dbscan-05-5-cosine,1,12.0,807.0
0,0.032456959920009326,0.3425695133259264,0.18666395381242246,0.24165281972350613,bow-binary,chi_k-800,dbscan-03-5-cosine,1,17.0,1193.0
0,0.009841398190185,0.33347146699560737,0.11013070769616064,0.1655783075555091,bow-binary,chi_k-800,dbscan-01-5-cosine,1,11.0,1334.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-800,dbscan-1-10-cosine,1,1.0,0.0
0,0.0009467967881486009,0.22761018880338646,0.0030132066113207974,0.005947675208519647,bow-binary,chi_k-800,dbscan-09-10-cosine,1,1.0,5.0
0,0.027555197960814334,0.3217606807453413,0.05022343833776553,0.08688504094617404,bow-binary,chi_k-800,dbscan-07-10-cosine,1,2.0,71.0
0,0.08222676006026056,0.3125263626360289,0.16102431224964736,0.2125404746408593,bow-binary,chi_k-800,dbscan-05-10-cosine,1,4.0,1025.0
0,0.0241638882591171,0.41189743951983643,0.13952810541084923,0.20844616245337996,bow-binary,chi_k-800,dbscan-03-10-cosine,1,6.0,1285.0
0,0.007994245939824745,0.3498630657011593,0.095011897192724,0.14944043339143295,bow-binary,chi_k-800,dbscan-01-10-cosine,1,7.0,1357.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-800,dbscan-1-20-cosine,1,1.0,0.0
0,0.0009467967881486009,0.22761018880338646,0.0030132066113207974,0.005947675208519647,bow-binary,chi_k-800,dbscan-09-20-cosine,1,1.0,5.0
0,0.03294829456290498,0.2180303148950903,0.051085014913052285,0.08277552895893166,bow-binary,chi_k-800,dbscan-07-20-cosine,1,2.0,149.0
0,0.049432476079911185,0.4211027928452993,0.1855391670488131,0.2575854180613661,bow-binary,chi_k-800,dbscan-05-20-cosine,1,6.0,1203.0
0,0.02805882673483516,0.5045024454507748,0.10778265797303607,0.17761861009034804,bow-binary,chi_k-800,dbscan-03-20-cosine,1,2.0,1343.0
0,0.009844874817465795,0.3985468997786256,0.06783783269132904,0.11594100760394008,bow-binary,chi_k-800,dbscan-01-20-cosine,1,3.0,1401.0
0,0.086535895949183,0.3116810258272945,0.10374300820965837,0.15567095098941489,bow-binary,chi_k-600,kmeans-2-cousine,1,2.0,0.0
0,0.19816284801327214,0.30469754907043745,0.19048877777340623,0.23442272359544933,bow-binary,chi_k-600,kmeans-3-cousine,1,3.0,0.0
0,0.19994510969895732,0.3080342516286417,0.239068008174684,0.26920428006607594,bow-binary,chi_k-600,kmeans-4-cousine,1,4.0,0.0
0,0.20827139113546367,0.26780112322517297,0.2465196503742316,0.25672009631373205,bow-binary,chi_k-600,kmeans-5-cousine,1,5.0,0.0
0,0.19026421381729017,0.23141918917084042,0.2321121749403857,0.2317651640439811,bow-binary,chi_k-600,kmeans-6-cousine,1,6.0,0.0
0,0.29188769798310926,0.324652362604303,0.3531640732072234,0.33830855876609406,bow-binary,chi_k-600,kmeans-7-cousine,1,7.0,0.0
0,0.24204443959692853,0.27977987160775625,0.34583541475222696,0.30932040839270064,bow-binary,chi_k-600,kmeans-9-cousine,1,9.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-600,dbscan-1-5-cosine,1,1.0,0.0
0,0.0010007057275280107,0.16190523847322214,0.003188146011159475,0.006253158378651555,bow-binary,chi_k-600,dbscan-09-5-cosine,1,1.0,8.0
0,0.017774868494920482,0.3337681696766996,0.036392784892460714,0.06562957574567728,bow-binary,chi_k-600,dbscan-07-5-cosine,1,2.0,35.0
0,0.06026692786296943,0.18086060897021164,0.10347950256819965,0.13164070133587835,bow-binary,chi_k-600,dbscan-05-5-cosine,1,10.0,726.0
0,0.03416798217343497,0.3353755740214826,0.1916746931290932,0.24393502570864195,bow-binary,chi_k-600,dbscan-03-5-cosine,1,18.0,1178.0
0,0.011148884467288948,0.33286900528049174,0.11426549358280598,0.17012975417234177,bow-binary,chi_k-600,dbscan-01-5-cosine,1,12.0,1329.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-600,dbscan-1-10-cosine,1,1.0,0.0
0,0.0010007057275280107,0.16190523847322214,0.003188146011159475,0.006253158378651555,bow-binary,chi_k-600,dbscan-09-10-cosine,1,1.0,8.0
0,0.01966360427672463,0.30716584338132197,0.03867261708952699,0.06869627529508833,bow-binary,chi_k-600,dbscan-07-10-cosine,1,2.0,47.0
0,0.06509378271720392,0.21051862091241696,0.09272434431698089,0.12874297727468956,bow-binary,chi_k-600,dbscan-05-10-cosine,1,3.0,950.0
