,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
656,0.10246386528015136,0.02725207938187501,0.012898564338684082,0.0030273065709426586,0.7818791946308725,0.033857713437931376,0.9116331096196868,0.0028736538207304514,bow,88,1,False,unigram_bigram,1600,0.7
86,0.036204171180725095,0.00030519997698263686,0.006418824195861816,0.0001752250125112845,0.7818791946308725,0.03893195976449175,0.8957494407158837,0.004594458404399493,bow,88,1,True,unigram,800,0.9
492,0.036806273460388186,0.0012032693792199858,0.006929874420166016,0.0011403235979780368,0.7818791946308725,0.03763778494714083,0.9090231170768084,0.0063363596677846416,bow,88,1,False,unigram,1000,0.8
496,0.036318206787109376,0.00015594912420883956,0.006502628326416016,0.00027328427379646493,0.7812080536912752,0.03666174572818166,0.9378076062639821,0.003863335972256102,bow,92,1,False,unigram,1200,0.1
658,0.0979203462600708,0.014237406396927105,0.010585403442382813,0.0026707531260110853,0.7812080536912751,0.03304304328883536,0.905965697240865,0.0028775214588478365,bow,93,1,False,unigram_bigram,1600,0.9
481,0.035832667350769044,0.00032942505590303605,0.005994606018066406,0.00014002434179449444,0.7812080536912751,0.04474049211409118,0.8994034302759134,0.0052566095596053896,bow,93,1,False,unigram,800,0.8
84,0.0406919002532959,0.008769020568022076,0.006903934478759766,0.001377995185115482,0.7812080536912751,0.03249320385747706,0.9030574198359431,0.003960005383251843,bow,93,1,True,unigram,800,0.7
97,0.03600585460662842,0.0003502009292495095,0.006150293350219727,0.00012039551862280033,0.7812080536912751,0.03150790495115571,0.9037285607755405,0.0045537314364718865,bow,93,1,True,unigram,1000,0.9
87,0.03836426734924316,0.0074225326380860665,0.006602787971496582,0.0012808835097665246,0.7805369127516779,0.03890881353190804,0.8926920208799404,0.003881286705346202,bow,97,1,True,unigram,800,1.0
642,0.10993762016296386,0.017598536072580592,0.011277532577514649,0.002952341035271965,0.7805369127516779,0.035008862699986536,0.9120059656972408,0.0031461630290423774,bow,97,1,False,unigram_bigram,1400,0.4
